,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
21,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.93149403 0.92051911 0.9088142  0.92393558],0.9211907307275751,"('id', 'monthly_charges', 'total_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.013104357475423623,0.008174990712219297,0.004719833088322503
20,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",[0.93779652 0.92862493 0.91481885 0.9264223 ],0.9269156485481697,"('monthly_charges', 'total_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'partner_Yes', 'dependents_Yes')",0.013118301118432029,0.008183689280791011,0.004724855209228946
19,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20)",[0.93920362 0.92930748 0.92059659 0.93170934],0.9302042598926232,"('monthly_charges', 'total_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'paperless_billing_Yes', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'dependents_Yes')",0.0106440057372571,0.006640130827175319,0.0038336813205240025
18,"(1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20)",[0.94311551 0.93516086 0.92940156 0.93632859],0.9360016318379389,"('monthly_charges', 'total_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'dependents_Yes')",0.00781122526736902,0.0048729359017833235,0.0028133908546383937
17,"(1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20)",[0.95150103 0.94435508 0.93748155 0.93356885],0.9417266266475347,"('monthly_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'gender_Male', 'dependents_Yes')",0.010960740982936193,0.00683772217772533,0.003947760739953593
16,"(1, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20)",[0.95639826 0.9514555  0.9456464  0.94467791],0.9495445181200117,"('monthly_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Electronic check', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'dependents_Yes')",0.007582665055720652,0.004730351451464985,0.0027310696838648463
15,"(1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 20)",[0.95761198 0.95564123 0.94906471 0.94797447],0.9525730987394254,"('monthly_charges', 'senior_citizen', 'target', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'dependents_Yes')",0.006621881158222149,0.004130978345745721,0.002385021459932807
14,"(1, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 20)",[0.96831074 0.9595318  0.96038223 0.95503247],0.9608143108710024,"('monthly_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes', 'dependents_Yes')",0.007664937158134664,0.0047816758810961734,0.0027607018571284164
13,"(1, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17)",[0.97149145 0.96487972 0.96895292 0.96607327],0.967849343049116,"('monthly_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'payment_method_Credit card (automatic)', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.004122493569139983,0.002571766429762608,0.0014848100405162844
12,"(1, 3, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17)",[0.97625055 0.97118875 0.97276048 0.97590762],0.9740268500561616,"('monthly_charges', 'senior_citizen', 'type_One year', 'type_Two year', 'payment_method_Mailed check', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.003413693025452261,0.00212959001078669,0.0012295193659912335
