,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
1,"(1,)",[0.83118093 0.82394481 0.82340245 0.8224026 ],0.8252326966397754,"('monthly_charges',)",0.0055759480769397365,0.003478485978903429,0.0020083048162922337
2,"(1, 2)",[0.86483535 0.87404811 0.85461371 0.85452147],0.8620046602414089,"('monthly_charges', 'total_charges')",0.01301482964367818,0.008119139885929133,0.004687587598729412
3,"(1, 2, 17)",[0.8830982  0.88251181 0.87149867 0.87275125],0.8774649837578621,"('monthly_charges', 'total_charges', 'streaming_movies_Yes')",0.008595765762201696,0.005362361748921986,0.0030959609992322603
4,"(1, 2, 16, 17)",[0.89011345 0.89419089 0.88326631 0.8877103 ],0.8888202387849001,"('monthly_charges', 'total_charges', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.006341126280509219,0.0039558329010325475,0.0022839011902803194
5,"(1, 2, 15, 16, 17)",[0.90439627 0.90608028 0.89997786 0.9043905 ],0.9037112286380189,"('monthly_charges', 'total_charges', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.003627232552662929,0.002262803993609795,0.0013064304948339754
6,"(1, 2, 14, 15, 16, 17)",[0.92264071 0.91881826 0.91847882 0.91589987],0.9189594138203958,"('monthly_charges', 'total_charges', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.0038574657738719253,0.0024064321301710675,0.0013893542381408304
7,"(1, 2, 13, 14, 15, 16, 17)",[0.94115404 0.94162116 0.93656471 0.93560176],0.938735419329639,"('monthly_charges', 'total_charges', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.004294454846373873,0.002679042337557773,0.0015467458147593843
8,"(1, 2, 12, 13, 14, 15, 16, 17)",[0.97311036 0.9758781  0.96912633 0.97525457],0.973342340099675,"('monthly_charges', 'total_charges', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.004234669546846949,0.0026417460207199214,0.0015252127761932693
9,"(1, 2, 11, 12, 13, 14, 15, 16, 17)",[0.97126492 0.97501291 0.96782947 0.97230483],0.9716030322424555,"('monthly_charges', 'total_charges', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.004123892080685694,0.0025726388738270007,0.0014853137463317146
10,"(1, 2, 6, 11, 12, 13, 14, 15, 16, 17)",[0.96843782 0.97191743 0.96576336 0.97186762],0.9694965571116669,"('monthly_charges', 'total_charges', 'type_Two year', 'internet_service_Fiber optic', 'online_security_Yes', 'online_backup_Yes', 'device_protection_Yes', 'tech_support_Yes', 'streaming_tv_Yes', 'streaming_movies_Yes')",0.004129059901694991,0.002575862754801909,0.0014871750548804132
